ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
668	14.001	92	100	1	1	22	100	1362
669	22.001	93	3	100	100	2	100	7003
672	2.002	94	4	1	100	1	100	2036
673	22.001	19	6	1	17	2	100	1115
674	21.001	69	11	1	1	3	100	90
676	9.001	58	3	1	100	2	100	3035
677	9.001	58	100	1	100	2	100	3035
678	9.001	58	13	100	100	7	100	678
679	14.001	69	1	100	100	7	100	178
681	22.001	104	100	100	100	7	100	84
682	2.002	54	14	1	1	22	100	559
683	22.001	54	100	100	100	2	100	1958
684	19.001	38	1	1	7	26	100	309
685	45.001	57	3	100	6	1	100	3165
686	22.001	25	35	100	100	1	100	190
687	9.001	105	100	1	100	2	100	3035
688	22.001	104	3	100	100	7	100	84
689	9.001	25	35	1	100	2	100	3035
690	2.002	106	100	100	100	2	100	1958
691	2.001	107	100	100	100	100	100	845
692	19.001	108	1	1	100	7	100	Ungroupable
693	5.002	109	3	1	1	3	100	127
694	9.001	105	14	1	100	7	100	Ungroupable
695	22.001	104	3	100	100	7	2	688
696	5.002	110	8	1	1	3	100	127
697	21.001	1	1	1	1	3	100	127
698	2.001	25	3	100	100	7	16	182
699	9.001	111	8	1	100	2	100	3035
700	12.001	112	8	1	1	3	100	127
701	18.001	36	12	1	2	24	2	501
702	9.001	113	4	1	100	2	100	142
705	9.001	58	1	1	100	2	100	442
706	12.001	1	23	1	1	3	100	127
707	2.002	114	8	100	1	18	100	2209
708	2.002	54	4	100	1	22	100	1271
709	34.001	1	11	1	1	3	17	90
710	10.001	33	37	1	2	5	100	348
713	1.001	129	100	100	100	1	100	20
714	2.002	89	13	100	7	4	100	719
715	19.001	124	100	100	1	20	100	7319
716	2.002	134	100	100	100	2	100	1958
717	2.001	135	1	100	100	100	100	63
718	43.002	54	14	100	1	22	100	559
